year,min_renta_hipoteca,interes,alquiler_medio,inflacion,cambio_poblacional,sueldo_medio,pib_per_capita,viviendas_venta,pct_alquiler,viviendas_vacias,nuevas_construcciones,precio_medio_vivienda,indice_catastrofes,ratio_comprador_vivienda
2000-01-31,1014.4,0.06,400.0,0.0135,0.00144,1200.0,15000.0,300000.0,0.15,3000000.0,40000.0,1200.0,0.0,2.4
2000-02-29,1014.7,0.06,402.09,0.0233,0.00082,1203.34,15117.04,300418.0,0.15,3001254.0,40084.0,1225.08,0.0,2.47
2000-03-31,1015.0,0.06,404.18,0.0209,0.00095,1206.69,15234.01,300836.0,0.151,3002508.0,40167.0,1250.13,0.0,2.53
2000-04-30,1015.29,0.0599,406.27,0.0276,0.00087,1210.03,15350.83,301254.0,0.151,3003763.0,40251.0,1275.13,0.0,2.6
2000-05-31,1015.57,0.0599,408.36,0.0188,0.00054,1213.38,15467.43,301672.0,0.151,3005017.0,40334.0,1300.06,0.0,2.67
2000-06-30,1015.86,0.0598,410.45,0.0193,0.00085,1216.72,15583.73,302090.0,0.151,3006271.0,40418.0,1324.87,0.0,2.73
2000-07-31,1016.13,0.0598,412.54,0.0197,0.0008,1220.07,15699.65,302509.0,0.152,3007525.0,40502.0,1349.56,0.0,2.8
2000-08-31,1016.4,0.0597,414.63,0.0152,0.00068,1223.41,15815.13,302927.0,0.152,3008779.0,40585.0,1374.09,0.0,2.87
2000-09-30,1016.67,0.0596,416.72,0.0185,0.00057,1226.76,15930.09,303345.0,0.152,3010033.0,40669.0,1398.44,0.0,2.93
2000-10-31,1016.93,0.0595,418.81,0.0182,0.00053,1230.1,16044.46,303763.0,0.153,3011288.0,40752.0,1422.59,0.0,3.0
2000-11-30,1017.18,0.0594,420.9,0.0132,0.00095,1233.44,16158.17,304182.0,0.153,3012542.0,40836.0,1446.5,0.0,3.06
2000-12-31,1017.42,0.0592,422.99,0.0124,0.00094,1236.79,16271.14,304600.0,0.153,3013796.0,40919.0,1470.15,0.0,3.13
2001-01-31,1017.65,0.0591,425.08,0.0105,0.00078,1240.13,16383.31,305019.0,0.154,3015050.0,41003.0,1493.52,0.0,3.19
2001-02-28,1017.88,0.0589,427.17,0.0283,0.00118,1243.48,16494.6,305437.0,0.154,3016304.0,41086.0,1516.59,0.0,3.25
2001-03-31,1018.1,0.0588,429.26,0.0196,0.00139,1246.82,16604.95,305856.0,0.154,3017559.0,41170.0,1539.33,0.0,3.31
2001-04-30,1018.3,0.0586,431.35,0.0181,0.00055,1250.17,16714.29,306275.0,0.154,3018813.0,41253.0,1561.71,0.0,3.38
